A̱o,Trimestre,Periodo,Provincia,Mbps (Media de bajada),Porcentaje_Provincias_Mayor_30
2022,1,2022-1,Buenos Aires,63.0,62.5
2022,1,2022-1,Capital Federal,88.0,62.5
2022,1,2022-1,Catamarca,51.0,62.5
2022,1,2022-1,Chaco,46.0,62.5
2022,1,2022-1,Chubut,13.0,62.5
2022,1,2022-1,Cordoba,50.0,62.5
2022,1,2022-1,Corrientes,38.0,62.5
2022,1,2022-1,Entre Rios,36.0,62.5
2022,1,2022-1,Formosa,30.0,62.5
2022,1,2022-1,Jujuy,28.0,62.5
2022,1,2022-1,La Pampa,15.0,62.5
2022,1,2022-1,La Rioja,41.0,62.5
2022,1,2022-1,Mendoza,26.0,62.5
2022,1,2022-1,Misiones,42.0,62.5
2022,1,2022-1,Neuquen,43.0,62.5
2022,1,2022-1,Rio Negro,31.0,62.5
2022,1,2022-1,Salta,37.0,62.5
2022,1,2022-1,San Juan,12.0,62.5
2022,1,2022-1,San Luis,21.0,62.5
2022,1,2022-1,Santa Cruz,11.0,62.5
2022,1,2022-1,Santa Fe,39.0,62.5
2022,1,2022-1,Santiago Del Estero,14.0,62.5
2022,1,2022-1,Tierra Del Fuego,11.0,62.5
2022,1,2022-1,Tucuman,47.0,62.5
2021,1,2021-1,Buenos Aires,51.0,29.166666666666668
2021,1,2021-1,Capital Federal,68.0,29.166666666666668
2021,1,2021-1,Catamarca,40.0,29.166666666666668
2021,1,2021-1,Chaco,34.0,29.166666666666668
2021,1,2021-1,Chubut,8.0,29.166666666666668
2021,1,2021-1,Cordoba,36.0,29.166666666666668
2021,1,2021-1,Corrientes,26.0,29.166666666666668
2021,1,2021-1,Entre Rios,24.0,29.166666666666668
2021,1,2021-1,Formosa,21.0,29.166666666666668
2021,1,2021-1,Jujuy,27.0,29.166666666666668
2021,1,2021-1,La Pampa,11.0,29.166666666666668
2021,1,2021-1,La Rioja,13.0,29.166666666666668
2021,1,2021-1,Mendoza,13.0,29.166666666666668
2021,1,2021-1,Misiones,25.0,29.166666666666668
2021,1,2021-1,Neuquen,34.0,29.166666666666668
2021,1,2021-1,Rio Negro,22.0,29.166666666666668
2021,1,2021-1,Salta,27.0,29.166666666666668
2021,1,2021-1,San Juan,7.0,29.166666666666668
2021,1,2021-1,San Luis,22.0,29.166666666666668
2021,1,2021-1,Santa Cruz,8.0,29.166666666666668
2021,1,2021-1,Santa Fe,28.0,29.166666666666668
2021,1,2021-1,Santiago Del Estero,12.0,29.166666666666668
2021,1,2021-1,Tierra Del Fuego,9.0,29.166666666666668
2021,1,2021-1,Tucuman,38.0,29.166666666666668
2020,1,2020-1,Buenos Aires,45.0,12.5
2020,1,2020-1,Capital Federal,59.0,12.5
2020,1,2020-1,Catamarca,29.0,12.5
2020,1,2020-1,Chaco,26.0,12.5
2020,1,2020-1,Chubut,7.0,12.5
2020,1,2020-1,Cordoba,29.0,12.5
2020,1,2020-1,Corrientes,21.0,12.5
2020,1,2020-1,Entre Rios,19.0,12.5
2020,1,2020-1,Formosa,16.0,12.5
2020,1,2020-1,Jujuy,14.0,12.5
2020,1,2020-1,La Pampa,7.0,12.5
2020,1,2020-1,La Rioja,8.0,12.5
2020,1,2020-1,Mendoza,8.0,12.5
2020,1,2020-1,Misiones,22.0,12.5
2020,1,2020-1,Neuquen,28.0,12.5
2020,1,2020-1,Rio Negro,19.0,12.5
2020,1,2020-1,Salta,21.0,12.5
2020,1,2020-1,San Juan,6.0,12.5
2020,1,2020-1,San Luis,21.0,12.5
2020,1,2020-1,Santa Cruz,6.0,12.5
2020,1,2020-1,Santa Fe,22.0,12.5
2020,1,2020-1,Santiago Del Estero,10.0,12.5
2020,1,2020-1,Tierra Del Fuego,7.0,12.5
2020,1,2020-1,Tucuman,32.0,12.5
2019,1,2019-1,Buenos Aires,20.0,0.0
2019,1,2019-1,Capital Federal,25.0,0.0
2019,1,2019-1,Catamarca,8.0,0.0
2019,1,2019-1,Chaco,13.0,0.0
2019,1,2019-1,Chubut,6.0,0.0
2019,1,2019-1,Cordoba,16.0,0.0
2019,1,2019-1,Corrientes,12.0,0.0
2019,1,2019-1,Entre Rios,11.0,0.0
2019,1,2019-1,Formosa,10.0,0.0
2019,1,2019-1,Jujuy,9.0,0.0
2019,1,2019-1,La Pampa,5.0,0.0
2019,1,2019-1,La Rioja,7.0,0.0
2019,1,2019-1,Mendoza,6.0,0.0
2019,1,2019-1,Misiones,13.0,0.0
2019,1,2019-1,Neuquen,16.0,0.0
2019,1,2019-1,Rio Negro,10.0,0.0
2019,1,2019-1,Salta,10.0,0.0
2019,1,2019-1,San Juan,6.0,0.0
2019,1,2019-1,San Luis,9.0,0.0
2019,1,2019-1,Santa Cruz,6.0,0.0
2019,1,2019-1,Santa Fe,13.0,0.0
2019,1,2019-1,Santiago Del Estero,6.0,0.0
2019,1,2019-1,Tierra Del Fuego,6.0,0.0
2019,1,2019-1,Tucuman,17.0,0.0
2018,1,2018-1,Buenos Aires,14.0,0.0
2018,1,2018-1,Capital Federal,18.0,0.0
2018,1,2018-1,Catamarca,8.0,0.0
2018,1,2018-1,Chaco,12.0,0.0
2018,1,2018-1,Chubut,5.0,0.0
2018,1,2018-1,Cordoba,13.0,0.0
2018,1,2018-1,Corrientes,11.0,0.0
2018,1,2018-1,Entre Rios,10.0,0.0
2018,1,2018-1,Formosa,11.0,0.0
2018,1,2018-1,Jujuy,7.0,0.0
2018,1,2018-1,La Pampa,4.0,0.0
2018,1,2018-1,La Rioja,6.0,0.0
2018,1,2018-1,Mendoza,6.0,0.0
2018,1,2018-1,Misiones,12.0,0.0
2018,1,2018-1,Neuquen,12.0,0.0
2018,1,2018-1,Rio Negro,9.0,0.0
2018,1,2018-1,Salta,9.0,0.0
2018,1,2018-1,San Juan,6.0,0.0
2018,1,2018-1,San Luis,6.0,0.0
2018,1,2018-1,Santa Cruz,5.0,0.0
2018,1,2018-1,Santa Fe,11.0,0.0
2018,1,2018-1,Santiago Del Estero,6.0,0.0
2018,1,2018-1,Tierra Del Fuego,6.0,0.0
2018,1,2018-1,Tucuman,9.0,0.0
