A̱o,Trimestre,Ingresos (miles de pesos)
2022,1,51432896.0
2021,4,45467887.0
2021,3,42999944.0
2021,2,38239667.0
2021,1,36676371.0
2020,4,33539703.0
2020,3,31997445.0
2020,2,32102476.0
2020,1,29946216.0
2019,4,24169251.0
2019,3,21652748.0
2019,2,20743118.0
2019,1,20207414.0
2018,4,16637687.0
2018,3,15410981.0
2018,2,14319467.0
2018,1,13171459.0
2017,4,11226127.0
2017,3,10065998.0
2017,2,9678647.0
2017,1,8701201.0
2016,4,7483980.0
2016,3,6912442.0
2016,2,6534241.0
2016,1,5936845.0
2015,4,5376899.0
2015,3,5153739.0
2015,2,4701791.0
2015,1,4876385.0
2014,4,3950441.0
2014,3,3478638.0
2014,2,3270816.0
2014,1,2984054.0
