A̱o,Trimestre,Ingresos (miles de $)
2013,1,13135235.0
2013,2,13970806.0
2013,3,15235659.0
2013,4,16218846.0
2014,1,15938353.0
2014,2,17680972.0
2014,3,18976053.0
2014,4,20012332.0
2015,1,19337342.0
2015,2,19945453.0
2015,3,21785238.0
2015,4,24881967.0
2016,1,24763052.0
2016,2,25353971.0
2016,3,27416177.0
2016,4,30143233.0
2017,1,31205565.0
2017,2,33509264.0
2017,3,35711689.0
2017,4,38110028.0
2018,1,38733946.0
2018,2,40653502.0
2018,3,43280089.0
2018,4,44026803.0
2019,1,50246691.0
2019,2,55338816.0
2019,3,60905891.0
2019,4,65388842.0
2020,1,72077147.0
2020,2,73538944.0
2020,3,79634755.0
2020,4,83479114.0
2021,1,93112153.0
2021,2,104782020.0
2021,3,117751925.0
2021,4,127389786.0
2022,1,130454716.0
